Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap,vi_opt_gap_tmp,vi_opt_gap
25,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.29166666666666663, 1.7499999999999998]","[0.3333333333333333, 0.6666666666666666]",0.7,0.3937818505566181,6608950_20,1,(HH:MM:SS): 02:43:57,821,1.8113454182942708,1.8113454182942708,6609006_26,1,(HH:MM:SS): 02:22:27,931,1.698459337155024,1.698459337155024,,,6609189_19,1,(HH:MM:SS): 03:00:03,1681,1.6518019636472066,1.6518019636472066,0.08808008292383293,0.08808008292383293,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
26,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.375, 1.125]","[0.3333333333333333, 0.3333333333333333]",0.9,0.7756287768762371,6608951_21,1,(HH:MM:SS): 03:31:05,1681,0.9147071838378906,0.9147071838378906,6609007_27,1,(HH:MM:SS): 02:35:11,1351,0.8038085202376049,0.8038085202376049,,,6609190_20,2,(HH:MM:SS): 03:27:52,2451,0.5976563505828381,0.5976563505828381,0.34661456568514504,0.34661456568514504,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
27,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.375, 2.25]","[0.3333333333333333, 0.6666666666666666]",0.9,0.7839911514879678,6608952_22,1,(HH:MM:SS): 03:19:01,1461,2.0160341262817383,2.0160341262817383,6609008_28,1,(HH:MM:SS): 02:37:30,1441,1.5467598537604013,1.5467598537604013,,,6609279_21,2,(HH:MM:SS): 03:46:12,2951,1.080195332566897,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
28,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.5833333333333333, 0.5833333333333333]","[0.3333333333333333, 0.3333333333333333]",0.7,0.3867870847626598,6608953_23,1,(HH:MM:SS): 02:55:15,1031,0.9560781096418699,0.9560781096418699,6609009_29,1,(HH:MM:SS): 02:11:14,481,0.9350143373012543,0.9350143373012543,,,6609192_22,1,(HH:MM:SS): 02:55:19,1551,0.8808846895893415,0.8808846895893415,0.07864777918688517,0.07864777918688517,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
29,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.5833333333333333, 1.1666666666666665]","[0.3333333333333333, 0.6666666666666666]",0.7,0.3914396690651047,6608954_24,1,(HH:MM:SS): 03:07:45,1261,1.5050126115481057,1.5050126115481057,6609010_30,1,(HH:MM:SS): 02:26:51,981,1.4404992510875065,1.4404992510875065,,,6609336_23,1,(HH:MM:SS): 03:00:03,1681,1.3831907138228416,1.3831907138228416,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
30,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.75, 0.75]","[0.3333333333333333, 0.3333333333333333]",0.9,0.7756287768762371,6608955_25,1,(HH:MM:SS): 03:14:04,1371,0.9223021070162456,0.9223021070162456,6609011_31,1,(HH:MM:SS): 02:32:41,1331,0.8190555932621162,0.8190555932621162,0.11194435420747749,0.11194435420747749,6609194_24,2,(HH:MM:SS): 03:28:49,2481,0.5945166728148858,0.5945166728148858,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
31,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.75, 1.5]","[0.3333333333333333, 0.6666666666666666]",0.9,0.7813277595318535,6608956_26,1,(HH:MM:SS): 03:40:25,1851,1.6066539287567139,1.6066539287567139,6609012_32,1,(HH:MM:SS): 02:42:46,1611,1.2478174517552056,1.2478174517552056,0.22334397630931552,0.22334397630931552,6609360_25,2,(HH:MM:SS): 03:46:06,2951,0.909773235519727,,0.4337466088769086,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
32,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.8749999999999999, 0.29166666666666663]","[0.3333333333333333, 0.3333333333333333]",0.7,0.3867870847626598,6608957_27,1,(HH:MM:SS): 02:58:33,1091,0.9514797975619634,0.9514797975619634,6609013_33,1,(HH:MM:SS): 02:16:32,651,0.9340202560027441,0.9340202560027441,0.01834988152555319,0.01834988152555319,6609361_26,1,(HH:MM:SS): 02:54:33,1531,0.880629550665617,0.880629550665617,0.07446321727260052,0.07446321727260052,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
33,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.8749999999999999, 0.5833333333333333]","[0.3333333333333333, 0.6666666666666666]",0.7,0.3891059212302198,6608958_28,1,(HH:MM:SS): 03:03:33,1181,1.2208162496487298,1.2208162496487298,6609014_34,1,(HH:MM:SS): 02:26:19,931,1.182655207812786,1.182655207812786,0.03125862868136293,0.03125862868136293,6609197_27,1,(HH:MM:SS): 03:40:36,1641,1.1245946089426675,1.1245946089426675,0.07881746391707069,0.07881746391707069,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
34,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[1.125, 0.375]","[0.3333333333333333, 0.3333333333333333]",0.9,0.7756287768762371,6608959_29,1,(HH:MM:SS): 03:30:53,1681,0.9147123495737712,0.9147123495737712,6609015_35,1,(HH:MM:SS): 02:39:07,1351,0.803829183181127,0.803829183181127,,,6609372_28,2,(HH:MM:SS): 03:27:02,2421,0.5996039540817341,0.5996039540817341,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
