Unnamed: 0,J,S,gamma,D,mu,lab,load,imbalance,t,c,r,t_prob,e,P,size,size_i,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap,cmu_t_min_job_id,cmu_t_min_attempts,cmu_t_min_time,cmu_t_min_iter,cmu_t_min_g_tmp,cmu_t_min_g,cmu_t_min_opt_gap_tmp,cmu_t_min_opt_gap
20,2,2,15,59,"[4.0, 4.0]","[4.199999999999999, 1.4]",0.7,"[3, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5834976793260784,0.0001,1000,32400,97200,704518521,1,(HH:MM:SS): 02:59:13,701,5.442179083824158,5.442214191,703127521,1,(HH:MM:SS): 05:59:04,1,5.376940965652466,5.3769760727882385,0.011987499339299545,0.011987422009236429,703320521,1,(HH:MM:SS): 05:59:05,1,5.242372483,5.242373049259186,0.036714447968642636,0.036720558,703426221,1,(HH:MM:SS): 05:59:05,1,5.242372483,5.242373049259186,0.036714447968642636,0.036720558,,0,00:00,0,,,,,705112121,1,(HH:MM:SS): 02:59:11,641,5.380485087633133,5.380448281764984,0.011336267190177267,0.011349407984997307
21,2,2,15,51,"[4.0, 8.0]","[4.199999999999999, 2.8]",0.7,"[3, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5863040791100125,0.0001,1000,24336,73008,702724022,1,(HH:MM:SS): 05:59:05,1,7.028199255466461,7.028200626373291,704544222,1,(HH:MM:SS): 02:59:10,791,6.809513568878174,6.809514939785004,0.031115464806749163,0.031115458737428513,704825922,1,(HH:MM:SS): 02:59:14,1211,6.741485059261322,6.741572797298431,0.040794830337534296,0.040782534,704981222,1,(HH:MM:SS): 02:59:14,1211,6.741485059261322,6.741572797298431,0.040794830337534296,0.040782534,,0,00:00,0,,,,,703532322,1,(HH:MM:SS): 05:59:05,1,6.824096590280533,6.824053406715393,0.029040535,0.029046869
22,2,2,15,193,"[4.0, 4.0]","[5.4, 1.8]",0.9,"[3, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8642833946038634,0.0001,1000,338724,1016172,702724123,2,(HH:MM:SS): 05:40:08,34071,5.495086669921875,,703130623,2,(HH:MM:SS): 05:40:07,47541,5.0489044189453125,,0.081196581,,704826023,2,(HH:MM:SS): 11:22:06,96121,3.691223145,,0.32826843937955047,,704981523,2,(HH:MM:SS): 11:22:07,95911,3.691223145,,0.32826843937955047,,,0,00:00,0,,,,,703532423,2,(HH:MM:SS): 05:40:06,47641,5.394775391,,0.018254721958425663,
23,2,2,15,167,"[4.0, 8.0]","[5.4, 3.6]",0.9,"[3, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8664066852367689,0.0001,1000,254016,762048,702724224,1,(HH:MM:SS): 05:59:05,1,7.098533630371094,7.098533630371094,703132824,1,(HH:MM:SS): 05:59:07,21,6.188514709472656,6.188514709472656,0.12819815588460684,0.12819815588460684,704826124,2,(HH:MM:SS): 11:22:06,142561,4.944915771484375,,0.30338911823597753,,704981624,2,(HH:MM:SS): 11:22:06,142631,4.942810059,,0.30368575878179616,,,0,00:00,0,,,,,705112424,1,(HH:MM:SS): 03:19:24,13051,6.055503845214844,6.055503845214844,0.14693595036214865,0.14693595036214865
24,2,2,20,73,"[4.0, 4.0]","[1.4, 4.2]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5808752025931927,0.0001,1000,49284,147852,704518925,1,(HH:MM:SS): 02:59:21,801,5.441734313964844,5.441711426,703132925,1,(HH:MM:SS): 05:59:04,1,5.393194913864136,5.393194198608398,0.00891984,0.008915803,704826225,1,(HH:MM:SS): 02:59:27,1351,5.272245168685913,5.272199392318726,0.031146163245048434,0.031150500311248695,704981725,1,(HH:MM:SS): 02:59:27,1351,5.272245168685913,5.272199392318726,0.031146163245048434,0.031150500311248695,,0,00:00,0,,,,,705112525,1,(HH:MM:SS): 02:59:23,1091,5.220557928085327,5.220557213,0.040644466,0.040640562434806016
25,2,2,20,50,"[4.0, 8.0]","[1.4, 8.4]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5870206187235925,0.0001,1000,23409,70227,704519026,1,(HH:MM:SS): 02:59:09,521,10.421557784080505,10.421610355377197,703133026,1,(HH:MM:SS): 05:59:05,1,9.889626383781433,9.889625549316406,0.051041448056031155,0.051046315,704826326,1,(HH:MM:SS): 02:59:12,1061,9.996115803718567,9.996115803718567,0.040823262,0.040828100183105544,703426826,1,(HH:MM:SS): 05:59:04,1,9.996115803718567,9.996115803718567,0.040823262,0.040828100183105544,,0,00:00,0,,,,,705112626,1,(HH:MM:SS): 02:59:09,521,10.249084711074829,10.249085545539856,0.016549644,0.016554525064192634
26,2,2,20,235,"[4.0, 4.0]","[1.8, 5.4]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8618924889543446,0.0001,1000,501264,1503792,704519127,2,(HH:MM:SS): 11:22:09,38151,5.611999512,,704544727,2,(HH:MM:SS): 11:22:08,86091,5.217773438,,0.07024699,,704826427,2,(HH:MM:SS): 11:22:06,54231,3.861328125,,0.31195145029201604,,703427227,2,(HH:MM:SS): 05:40:06,27071,3.861328125,,0.31195145029201604,,,0,00:00,0,,,,,705112727,2,(HH:MM:SS): 11:22:06,54741,4.229003906,,0.24643544650722699,
27,2,2,20,162,"[4.0, 8.0]","[1.8, 10.8]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8669004354463828,0.0001,1000,239121,717363,704519228,1,(HH:MM:SS): 03:09:01,3381,12.02783203,12.02783203,704544928,2,(HH:MM:SS): 11:22:06,220051,10.72088623046875,,0.10866013071895425,,704826528,2,(HH:MM:SS): 11:22:06,155321,8.225341797,,0.3161409491332765,,704982228,2,(HH:MM:SS): 11:22:06,155131,8.224487305,,0.3162119920431941,,,0,00:00,0,,,,,705112828,2,(HH:MM:SS): 11:22:06,227201,11.62664794921875,,0.033354646,
28,2,2,20,73,"[4.0, 4.0]","[2.8, 2.8]",0.7,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5808752025931927,0.0001,1000,49284,147852,704519329,1,(HH:MM:SS): 02:59:22,831,5.4465930461883545,5.446638107299805,703137829,1,(HH:MM:SS): 05:59:05,1,5.3902952671051025,5.390340328216553,0.010336329262317546,0.010336243747826645,704826629,1,(HH:MM:SS): 02:59:27,1341,5.289591550827026,5.289682388305664,0.028825633571283836,0.028816991,704982329,1,(HH:MM:SS): 02:59:27,1341,5.289591550827026,5.289682388305664,0.028825633571283836,0.028816991,,0,00:00,0,,,,,703533029,1,(HH:MM:SS): 05:59:05,1,5.2796409130096436,5.279619455337524,0.030652580753311048,0.030664539973462735
29,2,2,20,55,"[4.0, 8.0]","[2.8, 5.6]",0.7,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5848858685357073,0.0001,1000,28224,84672,702730930,1,(HH:MM:SS): 05:59:04,1,8.754419326782227,8.754420161247253,703140030,1,(HH:MM:SS): 05:59:05,1,8.370395183563232,8.370393514633179,0.043866318128508705,0.043866599905042936,703323330,1,(HH:MM:SS): 05:59:04,1,8.366403102874756,8.366403102874756,0.044322325607641405,0.044322416702149266,703427530,1,(HH:MM:SS): 05:59:04,1,8.366403102874756,8.366403102874756,0.044322325607641405,0.044322416702149266,,0,00:00,0,,,,,703533130,1,(HH:MM:SS): 05:59:05,1,8.529581904411316,8.52955687,0.025682733940224894,0.025685686389846134
