Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g,opt_gap
27,2,2,345,1077444,3232332,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3, 0.09999999999999999]","[0.3333333333333333, 0.3333333333333333]",0.6,0.4487511563367252,3910145_16,12,15:00:00,,,3907720_16,10,15:00:00,,,
28,2,2,307,853776,2561328,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3, 0.15]","[0.3333333333333333, 0.5]",0.6,0.4486151243921347,3910146_17,12,15:00:00,,,3385333_29,1,(HH:MM:SS): 13:18:02,1903.0,0.3124017715454101,
29,2,2,276,690561,2071683,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3, 0.19999999999999998]","[0.3333333333333333, 0.6666666666666666]",0.6,0.4484832771584133,3910147_18,12,15:00:00,,,3385753_30,1,(HH:MM:SS): 07:28:29,2068.0,0.3515443801879883,
30,2,2,478,2064969,6194907,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.35, 0.11666666666666665]","[0.3333333333333333, 0.3333333333333333]",0.7,0.5764781485383542,3910148_19,12,15:00:00,,,3907721_17,10,15:00:00,,,
31,2,2,425,1633284,4899852,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.35, 0.175]","[0.3333333333333333, 0.5]",0.7,0.5764919564089258,3910149_20,12,15:00:00,,,3907722_18,10,15:00:00,,,
32,2,2,383,1327104,3981312,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.35, 0.2333333333333333]","[0.3333333333333333, 0.6666666666666666]",0.7,0.576508409680469,3910150_21,12,15:00:00,,,3907723_19,10,15:00:00,,,
33,2,2,740,4941729,14825187,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.4, 0.13333333333333333]","[0.3333333333333333, 0.3333333333333333]",0.8,0.71212259713429,3910151_22,12,15:00:00,,,3907724_20,10,15:00:00,,,
34,2,2,658,3908529,11725587,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.4, 0.2]","[0.3333333333333333, 0.5]",0.8,0.7122525414660247,3910152_23,12,15:00:00,,,3907725_21,10,15:00:00,,,
35,2,2,593,3175524,9526572,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.4, 0.26666666666666666]","[0.3333333333333333, 0.6666666666666666]",0.8,0.7123831599103072,3910153_24,12,15:00:00,,,3907726_22,10,15:00:00,,,
36,2,5,89,291600,874800,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.20833333333333331, 0.625]","[0.3333333333333333, 0.3333333333333333]",0.5,0.1297933660848856,3367276_27,1,(HH:MM:SS): 01:25:38,1141.0,0.7914942689239979,3389350_37,1,(MM:SS): 29:18,899.0,0.7902948930859566,0.0015153310455068
